REGION NAME,DISTRICT NAME,ULB NAME,ZONE NAME,USAGE AS PER NOMENCLATURE,CLASSIFICATION AS PER NOMENCLATURE,Unit Rate in Rs
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,COUNTRY TILED,14
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,HUTS,9
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,25
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,MEDRAS TERRACE / JACK ARCH ROOFED / STONE SLAB / SLATES ROOFED.,30
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC ORDINARY CELLAR,36.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC ORDINARY GROUND & FIRST FLOOR,46
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC ORDINARY OTHER FLOORS,36.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC POSH CELLAR,42.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC POSH GROUND & FIRST FLOOR,53
GUNTUR,GUNTUR,BAPATLA,ZONE1,BANKS,RCC POSH OTHER FLOORS,42.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,11
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,MEDRAS TERRACE / JACK ARCH ROOFED / STONE SLAB / SLATES ROOFED.,16
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC ORDINARY CELLAR,16.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC ORDINARY GROUND & FIRST FLOOR,21
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC ORDINARY OTHER FLOORS,16.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC POSH CELLAR,21.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC POSH GROUND & FIRST FLOOR,27
GUNTUR,GUNTUR,BAPATLA,ZONE1,CINEMA THEATERS,RCC POSH OTHER FLOORS,21.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,COUNTRY TILED,7
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,HUTS,4
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,7
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,MEDRAS TERRACE / JACK ARCH ROOFED / STONE SLAB / SLATES ROOFED.,9
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC ORDINARY CELLAR,9.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC ORDINARY GROUND & FIRST FLOOR,12
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC ORDINARY OTHER FLOORS,9.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC POSH CELLAR,12.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC POSH GROUND & FIRST FLOOR,16
GUNTUR,GUNTUR,BAPATLA,ZONE1,EDUCATIONAL INSTITUTIONS,RCC POSH OTHER FLOORS,12.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,COUNTRY TILED,11
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,HUTS,7
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,14
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,MEDRAS TERRACE / JACK ARCH ROOFED / STONE SLAB / SLATES ROOFED.,18
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC ORDINARY CELLAR,18.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC ORDINARY GROUND & FIRST FLOOR,23
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC ORDINARY OTHER FLOORS,18.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC POSH CELLAR,22.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC POSH GROUND & FIRST FLOOR,28
GUNTUR,GUNTUR,BAPATLA,ZONE1,GODOWNS & OTHER BUSINESS,RCC POSH OTHER FLOORS,22.4
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,COUNTRY TILED,11
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,HUTS,7
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,14
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,MEDRAS TERRACE / JACK ARCH ROOFED / STONE SLAB / SLATES ROOFED.,18
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC ORDINARY CELLAR,16.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC ORDINARY GROUND & FIRST FLOOR,21
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC ORDINARY OTHER FLOORS,16.8
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC POSH CELLAR,21.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC POSH GROUND & FIRST FLOOR,27
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOSPITALS,RCC POSH OTHER FLOORS,21.6
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOTELS,COUNTRY TILED,14
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOTELS,HUTS,9
GUNTUR,GUNTUR,BAPATLA,ZONE1,HOTELS,MANGALORE TILED / ASBESTOS ROOFED / GI SHEET ROOFED,18
